;Civil Turbojet/Turbofan Specifications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(sorted by engine manufacturer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1;;2;;3;4;5;6;7;;;;8;9;;;;;;;10;11;;12;;;;;;;;;;;;;;
;Manufacturer;Model;Application(s);Thrust;Thrust;SFC;SFC;Airflow;OPR;FPR;BPR;Thrust;SFC;Cruise;Cruise;TIT;Number;Fan;LPC;HPC;HPT;IPT;LPT;Fan;Length;Width/;Dry;Notes;Refs;;;;;;;;;;;;
;;;;(dry);(wet);(dry);(wet);(static);(static);(static);(static);(cruise);(cruise);Speed;Altitude;;Spools;Stgs;Stgs;Stgs;Stgs;Stgs;Stgs;Diameter;;Diameter;Weight;;1;2;3;4;5;6;7;8;9;10;11;12;
;;;;[lbf];[lbf];[lb/lbf hr];[lb/lbf hr];[lb/s];;;;[lbf];[lb/lbf hr];[M];[ft];[K];;;;;;;;[in];[in];[in];[lb];;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CFM;CFM56-3B2;737-300/-300(QC)/-300F/-400;22.000;-;0,390;-;683;24,3;;5,90;5.040;0,667;0,80;35.000;;2;1;3B;9;1;-;4;60,0;93,1;63,0;4.301;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-3C1;737-300/-300(QC)/-300F/-400/-500;23.500;-;0,330;-;710;25,7;;6,00;5.370;0,667;0,80;35.000;;2;1;3B;9;1;-;4;60,0;93,1;63,0;4.301;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-3C3;737-300, 737-300(QC)/-300F/-400/-500 (option);;-;;-;;;;;;;;;;2;1;3B;9;1;-;4;60,0;93,1;63,0;;;;;;;;;;;;;;;
;CFM;CFM56-5A1;A320-211/-311;25.000;-;0,330;-;852;26,5;;6,00;5.000;0,596;0,80;35.000;;2;1;3B;9;1;-;4;68,3;95,4;72,0;4.995;Notes;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-5A3;A320-212;26.500;-;0,330;-;876;27,8;;6,00;5.000;0,596;0,80;35.000;;2;1;3B;9;1;-;4;68,3;95,4;72,0;4.995;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-5A4;A319-113;22.000;-;0,320;-;816;24,1;;6,20;5.000;;0,80;35.000;;2;1;3B;9;1;-;4;68,3;95,4;72,0;4.975;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-5A5;A319-114;23.500;-;0,320;-;842;25,4;;6,20;5.000;;0,80;35.000;;2;1;3B;9;1;-;4;68,3;95,4;72,0;4.975;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-5B1;A321-111;30.000;-;0,350;-;943;32,0;;5,50;5.840;0,596;0,80;35.000;;2;1;4B;9;1;-;4;68,3;102,4;72,0;5.250;;1;1;1;1;;1;1;;1;1;1;1;
;CFM;CFM56-5B1/P;A321-111;30.000;-;0,350;-;943;32,0;;5,50;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72,0;5.250;;1;1;1;1;;1;;;1;1;1;1;
;CFM;CFM56-5B1/2;A321-111;30.000;-;0,350;-;943;32,0;;5,50;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72,0;5.250;;1;1;1;1;;1;;;1;1;1;1;
